pd_decile,n_borrowers,n_defaults,avg_predicted_pd,observed_default_rate,avg_predicted_pd_pct,observed_default_rate_pct,calibration_gap,calibration_gap_pct,borrower_share_pct,default_share_pct,cumulative_borrower_pct,cumulative_default_capture_pct
1,654,14,0.02264071400648683,0.021406727828746176,2.264071400648683,2.1406727828746175,0.001233986177740655,0.1233986177740655,10.089478556001234,0.9873060648801129,100.0,100.0
2,645,38,0.039526651721255295,0.05891472868217054,3.9526651721255295,5.891472868217054,-0.019388076960915247,-1.9388076960915248,9.950632520826904,2.6798307475317347,89.91052144399877,99.01269393511988
3,649,43,0.0568298571087629,0.0662557781201849,5.68298571087629,6.6255778120184905,-0.009425921011422006,-0.9425921011422006,10.012341869793273,3.0324400564174896,79.95988892317186,96.33286318758815
4,645,73,0.07820096067523748,0.11317829457364341,7.820096067523748,11.317829457364342,-0.03497733389840593,-3.4977333898405933,9.950632520826904,5.148095909732017,69.94754705337859,93.30042313117066
5,651,82,0.10900986600761021,0.1259600614439324,10.900986600761021,12.59600614439324,-0.016950195436322188,-1.6950195436322189,10.043196544276457,5.782792665726375,59.996914532551685,88.15232722143864
6,645,98,0.15130406390509393,0.15193798449612403,15.130406390509393,15.193798449612403,-0.000633920591030096,-0.0633920591030096,9.950632520826904,6.911142454160791,49.95371798827522,82.36953455571228
7,650,128,0.20405441564149154,0.19692307692307692,20.405441564149154,19.692307692307693,0.00713133871841462,0.713133871841462,10.027769207034867,9.026798307475318,40.003085467448315,75.45839210155148
8,653,157,0.2932606221244301,0.24042879019908117,29.32606221244301,24.042879019908117,0.05283183192534893,5.283183192534893,10.074051218759642,11.071932299012694,29.975316260413454,66.43159379407616
9,641,231,0.45694551654407173,0.36037441497659906,45.69455165440717,36.037441497659906,0.09657110156747267,9.657110156747267,9.888923171860537,16.29055007052186,19.901265041653808,55.35966149506347
10,649,554,0.7794890559487624,0.8536209553158706,77.94890559487624,85.36209553158706,-0.07413189936710818,-7.413189936710818,10.012341869793273,39.06911142454161,10.012341869793273,39.06911142454161
