metric,value
Train ROC-AUC,0.8164443775788004
Test ROC-AUC,0.8189656180856824
Train Gini,0.6328887551576008
Test Gini,0.6379312361713647
Test KS,0.4762949618647183
Test Brier Score,0.11740710401774673
Baseline Brier Score,0.1709038658002631
Relative Brier Improvement,0.3130225377408286
Average Predicted PD,0.21893018945372206
Observed Default Rate,0.218759642085776
